!SIL 1.0	SIL
A 1.0	A
aMgrejI 1.0	a M g r e j I
aMgrejZI 1.0	a M g r e j Z I
aMgreja 1.0	a M g r e j a
aMka 1.0	a M k a
aMkiwa 1.0	a M k i w a
aMko 1.0	a M k o
aMkoM 1.0	a M k o M
aMkuSa 1.0	a M k u S a
aMwIma 1.0	a M w I m a
aMwa 1.0	a M w a
aMwame 1.0	a M w a m e
aMwarARtrI 1.0	a M w a r A R t r I
aMwarARtrIya 1.0	a M w a r A R t r I y a
aMwarARtrIyakaraNa 1.0	a M w a r A R t r I y a k a r a N a
aMwara 1.0	a M w a r a
aMwararARtrIya 1.0	a M w a r a r A R t r I y a
aMwargawa 1.0	a M w a r g a w a
aMwarikRa 1.0	a M w a r i k R a
aMwarika 1.0	a M w a r i k a
aMwarima 1.0	a M w a r i m a
aMwarrARtrI 1.0	a M w a r r A R t r I
aMwarrARtrIya 1.0	a M w a r r A R t r I y a
aMwima 1.0	a M w i m a
aMwiyaRTI 1.0	a M w i y a R T I
aMwyeRtI 1.0	a M w y e R t I
aMxamAna 1.0	a M x a m A n a
aMxarUnI 1.0	a M x a r U n I
aMxara 1.0	a M x a r a
aPZrIkA 1.0	a P Z r I k A
aPa 1.0	a P a
aParaNa 1.0	a P a r a N a
aPgAna 1.0	a P g A n a
aPgAniswAna 1.0	a P g A n i s w A n a
aPrA 1.0	a P r A
aPrIkA 1.0	a P r I k A
aPrIkI 1.0	a P r I k I
aPrikA 1.0	a P r i k A
aPsara 1.0	a P s a r a
aPsosa 1.0	a P s o s a
aSIra 1.0	a S I r a
aSoka 1.0	a S o k a
aSva 1.0	a S v a
aTAIsa 1.0	a T A I s a
aTAMnavevI 1.0	a T A M n a v e v I
aTAnve 1.0	a T A n v e
aTTAnavI 1.0	a T T A n a v I
aTTAnvIM 1.0	a T T A n v I M
aTTAnve 1.0	a T T A n v e
aTTAraha 1.0	a T T A r a h a
aTa 1.0	a T a
aWavA 1.0	a W a v A
aWvAdZa 1.0	a W v A d Z a
aXAra 1.0	a X A r a
aXIkArI 1.0	a X I k A r I
aXIkArIyoM 1.0	a X I k A r I y o M
aXIkAro 1.0	a X I k A r o
aXIka 1.0	a X I k a
aXIkaraNa 1.0	a X I k a r a N a
aXIna 1.0	a X I n a
aXIveSana 1.0	a X I v e S a n a
aXa 1.0	a X a
aXama 1.0	a X a m a
aXikAM 1.0	a X i k A M
aXikAMSa 1.0	a X i k A M S a
aXikArI 1.0	a X i k A r I
aXikArIyo 1.0	a X i k A r I y o
aXikArIyoM 1.0	a X i k A r I y o M
aXikAra 1.0	a X i k A r a
aXikAriyoM 1.0	a X i k A r i y o M
aXikAroM 1.0	a X i k A r o M
aXikAryo 1.0	a X i k A r y o
aXika 1.0	a X i k a
aXikariyoM 1.0	a X i k a r i y o M
aXikawA 1.0	a X i k a w A
aXikawara 1.0	a X i k a w a r a
aXikwama 1.0	a X i k w a m a
aXiniyama 1.0	a X i n i y a m a
aXiveSana 1.0	a X i v e S a n a
aXiyAna 1.0	a X i y A n a
aXkArIyoM 1.0	a X k A r I y o M
aXkAriyoM 1.0	a X k A r i y o M
aXruSya 1.0	a X r u S y a
aXyApaka 1.0	a X y A p a k a
aXyApana 1.0	a X y A p a n a
aXyArWI 1.0	a X y A r W I
aXyAya 1.0	a X y A y a
aXyakRa 1.0	a X y a k R a
aXyakRawA 1.0	a X y a k R a w A
aXyakRoM 1.0	a X y a k R o M
aXyakRwA 1.0	a X y a k R w A
aXyaka 1.0	a X y a k a
aXykRa 1.0	a X y k R a
aba 1.0	a b a
abbAsa 1.0	a b b A s a
abiyukwa 1.0	a b i y u k w a
abxullA 1.0	a b x u l l A
abyAna 1.0	a b y A n a
acAnaka 1.0	a c A n a k a
acCA 1.0	a c C A
acCI 1.0	a c C I
acCe 1.0	a c C e
acUka 1.0	a c U k a
adA 1.0	a d A
adZe 1.0	a d Z e
adde 1.0	a d d e
addoM 1.0	a d d o M
advANI 1.0	a d v A N I
advAnI 1.0	a d v A n I
adwAlIsa 1.0	a d w A l I s a
agAmI 1.0	a g A m I
agalA 1.0	a g a l A
agale 1.0	a g a l e
agara 1.0	a g a r a
agasta 1.0	a g a s t a
agaswa 1.0	a g a s w a
agavAha 1.0	a g a v A h a
aglI 1.0	a g l I
agle 1.0	a g l e
agni 1.0	a g n i
agraNI 1.0	a g r a N I
agravAla 1.0	a g r a v A l a
ahUjA 1.0	a h U j A
ahama 1.0	a h a m a
ahamaxa 1.0	a h a m a x a
ahujA 1.0	a h u j A
ajIjZa 1.0	a j I j Z a
ajIja 1.0	a j I j a
ajIwa 1.0	a j I w a
ajZIjZa 1.0	a j Z I j Z a
ajahara 1.0	a j a h a r a
ajahuz 1.0	a j a h u z
ajaya 1.0	a j a y a
ajmera 1.0	a j m e r a
akAlIxala 1.0	a k A l I x a l a
akAxamI 1.0	a k A x a m I
akRaroM 1.0	a k R a r o M
akarmena 1.0	a k a r m e n a
akelA 1.0	a k e l A
akrama 1.0	a k r a m a
aksara 1.0	a k s a r a
aktUbara 1.0	a k t U b a r a
akwara 1.0	a k w a r a
alAvA 1.0	a l A v A
alI 1.0	a l I
alaMkAra 1.0	a l a M k A r a
alaMkAroM 1.0	a l a M k A r o M
alaga 1.0	a l a g a
albenIyA 1.0	a l b e n I y A
albrAita 1.0	a l b r A i t a
alpa 1.0	a l p a
alpsaMKyaka 1.0	a l p s a M K y a k a
alwA 1.0	a l w A
amAnaSika 1.0	a m A n a S i k a
amAnanIya 1.0	a m A n a n I y a
amAnavIya 1.0	a m A n a v I y a
amAnuSika 1.0	a m A n u S i k a
amAnvIya 1.0	a m A n v I y a
amAnviya 1.0	a m A n v i y a
amAnwIya 1.0	a m A n w I y a
amIwABa 1.0	a m I w A B a
amIwa 1.0	a m I w a
amala 1.0	a m a l a
amarIkA 1.0	a m a r I k A
amarIkI 1.0	a m a r I k I
amara 1.0	a m a r a
ambAlA 1.0	a m b A l A
amerIkA 1.0	a m e r I k A
amerIkI 1.0	a m e r I k I
amerikA 1.0	a m e r i k A
amerikI 1.0	a m e r i k I
amerikana 1.0	a m e r i k a n a
amiwABa 1.0	a m i w A B a
amiwa 1.0	a m i w a
amrIkA 1.0	a m r I k A
amrIkI 1.0	a m r I k I
amrikA 1.0	a m r i k A
amrikI 1.0	a m r i k I
amriwsara 1.0	a m r i w s a r a
anAja 1.0	a n A j a
anAma 1.0	a n A m a
anTAnve 1.0	a n T A n v e
anUTA 1.0	a n U T A
aneka 1.0	a n e k a
annA 1.0	a n n A
anroXa 1.0	a n r o X a
ansAra 1.0	a n s A r a
anu 1.0	a n u
anuBUwi 1.0	a n u B U w i
anuBava 1.0	a n u B a v a
anuSAsanAwmaka 1.0	a n u S A s a n A w m a k a
anugraha 1.0	a n u g r a h a
anumAna 1.0	a n u m A n a
anumawi 1.0	a n u m a w i
anunAxa 1.0	a n u n A x a
anurUpa 1.0	a n u r U p a
anuroXa 1.0	a n u r o X a
anurupa 1.0	a n u r u p a
anusAra 1.0	a n u s A r a
anusUryA 1.0	a n u s U r y A
anusaMXAna 1.0	a n u s a M X A n a
anusuryA 1.0	a n u s u r y A
anuvAxa 1.0	a n u v A x a
anvara 1.0	a n v a r a
anwa 1.0	a n w a
anwara 1.0	a n w a r a
anwargawa 1.0	a n w a r g a w a
anwarrARtrIya 1.0	a n w a r r A R t r I y a
anwarraRtrIya 1.0	a n w a r r a R t r I y a
anwima 1.0	a n w i m a
anwyeRti 1.0	a n w y e R t i
anxamAna 1.0	a n x a m A n a
anxara 1.0	a n x a r a
anxeSA 1.0	a n x e S A
anya 1.0	a n y a
anyaWA 1.0	a n y a W A
apIla 1.0	a p I l a
apaharaNa 1.0	a p a h a r a N a
apanA 1.0	a p a n A
apanAyA 1.0	a p a n A y A
apanI 1.0	a p a n I
apane 1.0	a p a n e
apareSana 1.0	a p a r e S a n a
apekRA 1.0	a p e k R A
apila 1.0	a p i l a
apnA 1.0	a p n A
apnAI 1.0	a p n A I
apnAyA 1.0	a p n A y A
apnAyeMge 1.0	a p n A y e M g e
apnI 1.0	a p n I
apne 1.0	a p n e
apolo 1.0	a p o l o
aprAXiyoM 1.0	a p r A X i y o M
aprEla 1.0	a p r E l a
arWAw 1.0	a r W A w
arWAwa 1.0	a r W A w a
arWa 1.0	a r W a
arWaSAswra 1.0	a r W a S A s w r a
arabI 1.0	a r a b I
araba 1.0	a r a b a
arabu 1.0	a r a b u
aravinxan 1.0	a r a v i n x a n
arbana 1.0	a r b a n a
are 1.0	a r e
ariGaMtaka 1.0	a r i G a M t a k a
arjZI 1.0	a r j Z I
arjunA 1.0	a r j u n A
arjuna 1.0	a r j u n a
arjunrAma 1.0	a r j u n r A m a
arosI 1.0	a r o s I
arpiwa 1.0	a r p i w a
aru 1.0	a r u
aruNAcala 1.0	a r u N A c a l a
aruNa 1.0	a r u N a
asAXAraNa 1.0	a s A X A r a N a
asAma 1.0	a s A m a
asAmayika 1.0	a s A m a y i k a
asIsa 1.0	a s I s a
asWirwA 1.0	a s W i r w A
asa 1.0	a s a
asaBya 1.0	a s a B y a
asahamE 1.0	a s a h a m E
asala 1.0	a s a l a
asama 1.0	a s a m a
asapwAla 1.0	a s a p w A l a
asara 1.0	a s a r a
asi 1.0	a s i
aso 1.0	a s o
asosieSana 1.0	a s o s i e S a n a
aspawAlo 1.0	a s p a w A l o
assI 1.0	a s s I
aswa 1.0	a s w a
aswiwva 1.0	a s w i w v a
aswro 1.0	a s w r o
aswroM 1.0	a s w r o M
atTAisa 1.0	a t T A i s a
atTAra 1.0	a t T A r a
atTawwara 1.0	a t T a w w a r a
atala 1.0	a t a l a
atarmena 1.0	a t a r m e n a
atato 1.0	a t a t o
avAjZa 1.0	a v A j Z a
avAsa 1.0	a v A s a
avaSya 1.0	a v a S y a
avaSyaka 1.0	a v a S y a k a
avaXI 1.0	a v a X I
avaXa 1.0	a v a X a
avaguna 1.0	a v a g u n a
avasWA 1.0	a v a s W A
avasara 1.0	a v a s a r a
avawaraNa 1.0	a v a w a r a N a
avgawa 1.0	a v g a w a
avinIwi 1.0	a v i n I w i
avsara 1.0	a v s a r a
avwAja 1.0	a v w A j a
awI 1.0	a w I
awIrikwa 1.0	a w I r i k w a
awa 1.0	a w a
awaH 1.0	a w a H
awi 1.0	a w i
awigrahaNa 1.0	a w i g r a h a N a
awikramaNa 1.0	a w i k r a m a N a
awirikwa 1.0	a w i r i k w a
awri 1.0	a w r i
awula 1.0	a w u l a
awyaMwa 1.0	a w y a M w a
awyanwa 1.0	a w y a n w a
axA 1.0	a x A
axAlawa 1.0	a x A l a w a
axviwIya 1.0	a x v i w I y a
ayara 1.0	a y a r a
ayoXyA 1.0	a y o X y A
bADZa 1.0	b A D Z a
bADa 1.0	b A D a
bAMglA 1.0	b A M g l A
bAMglAxeSa 1.0	b A M g l A x e S a
bAMglaxeSa 1.0	b A M g l a x e S a
bAbA 1.0	b A b A
bAbU 1.0	b A b U
bAga 1.0	b A g a
bAgmawI 1.0	b A g m a w I
bAhAxurI 1.0	b A h A x u r I
bAharI 1.0	b A h a r I
bAhara 1.0	b A h a r a
bAhaxura 1.0	b A h a x u r a
bAjAra 1.0	b A j A r a
bAjI 1.0	b A j I
bAjZAra 1.0	b A j Z A r a
bAjZoM 1.0	b A j Z o M
bAja 1.0	b A j a
bAkAyaxA 1.0	b A k A y a x A
bAkI 1.0	b A k I
bAlAna 1.0	b A l A n a
bAlIya 1.0	b A l I y a
bAla 1.0	b A l a
bAlaka 1.0	b A l a k a
bAli 1.0	b A l i
bAltika 1.0	b A l t i k a
bAnI 1.0	b A n I
bAna 1.0	b A n a
bAnglAxeSa 1.0	b A n g l A x e S a
bArA 1.0	b A r A
bArAwa 1.0	b A r A w a
bArI 1.0	b A r I
bArUxI 1.0	b A r U x I
bAra 1.0	b A r a
bAraha 1.0	b A r a h a
bAre 1.0	b A r e
bAriRa 1.0	b A r i R a
bAruxa 1.0	b A r u x a
bAsata 1.0	b A s a t a
bAsu 1.0	b A s u
bAvajUxa 1.0	b A v a j U x a
bAvajuxa 1.0	b A v a j u x a
bAvana 1.0	b A v a n a
bAwa 1.0	b A w a
bAwcIwa 1.0	b A w c I w a
bAwciwa 1.0	b A w c i w a
bAwe 1.0	b A w e
bAwoM 1.0	b A w o M
bAxa 1.0	b A x a
bAxaSAha 1.0	b A x a S A h a
bAxala 1.0	b A x a l a
bAxalo 1.0	b A x a l o
bEMglora 1.0	b E M g l o r a
bEMka 1.0	b E M k a
bEMko 1.0	b E M k o
bETA 1.0	b E T A
bETa 1.0	b E T a
bETaka 1.0	b E T a k a
bETe 1.0	b E T e
bEca 1.0	b E c a
bEla 1.0	b E l a
bErAja 1.0	b E r A j a
bEreka 1.0	b E r e k a
bI 1.0	b I
bIca 1.0	b I c a
bIja 1.0	b I j a
bIkAnera 1.0	b I k A n e r a
bImAra 1.0	b I m A r a
bIsa 1.0	b I s a
bIsavIM 1.0	b I s a v I M
bOCAreM 1.0	b O C A r e M
bOKlAva 1.0	b O K l A v a
bOxXa 1.0	b O x X a
baDA 1.0	b a D A
baDAne 1.0	b a D A n e
baDAvA 1.0	b a D A v A
baDI 1.0	b a D I
baDZA 1.0	b a D Z A
baDZAI 1.0	b a D Z A I
baDZAvA 1.0	b a D Z A v A
baDZAyA 1.0	b a D Z A y A
baDZI 1.0	b a D Z I
baDZa 1.0	b a D Z a
baDZane 1.0	b a D Z a n e
baDZe 1.0	b a D Z e
baDZne 1.0	b a D Z n e
baDZowrI 1.0	b a D Z o w r I
baDZwA 1.0	b a D Z w A
baDa 1.0	b a D a
baDagayA 1.0	b a D a g a y A
baDe 1.0	b a D e
baDegI 1.0	b a D e g I
baDkara 1.0	b a D k a r a
baDowrI 1.0	b a D o w r I
baDwI 1.0	b a D w I
baKwIyAra 1.0	b a K w I y A r a
baMXa 1.0	b a M X a
baMXana 1.0	b a M X a n a
baMXu 1.0	b a M X u
baMbArI 1.0	b a M b A r I
baMgAlYeSa 1.0	b a M g A l Y e S a
baMgAla 1.0	b a M g A l a
baMgale 1.0	b a M g a l e
baMglAxeSa 1.0	b a M g l A x e S a
baMsIlAla 1.0	b a M s I l A l a
baMvArI 1.0	b a M v A r I
baMxa 1.0	b a M x a
baMxargAha 1.0	b a M x a r g A h a
baMxauz 1.0	b a M x a u z
baXAI 1.0	b a X A I
baXAya 1.0	b a X A y a
bacAnA 1.0	b a c A n A
bacAne 1.0	b a c A n e
bacAyA 1.0	b a c A y A
bacAya 1.0	b a c A y a
bacI 1.0	b a c I
baca 1.0	b a c a
bacana 1.0	b a c a n a
bacapana 1.0	b a c a p a n a
baccana 1.0	b a c c a n a
bacce 1.0	b a c c e
baccoM 1.0	b a c c o M
badA 1.0	b a d A
badI 1.0	b a d I
badZA 1.0	b a d Z A
badZI 1.0	b a d Z I
badZa 1.0	b a d Z a
badZe 1.0	b a d Z e
badZkara 1.0	b a d Z k a r a
bafI 1.0	b a f I
bagAvawa 1.0	b a g A v a w a
bagera 1.0	b a g e r a
bahA 1.0	b a h A
bahAla 1.0	b a h A l a
bahAxurI 1.0	b a h A x u r I
bahAxura 1.0	b a h A x u r a
bahUwa 1.0	b a h U w a
baha 1.0	b a h a
bahakAve 1.0	b a h a k A v e
bahanjI 1.0	b a h a n j I
bahawa 1.0	b a h a w a
bahawwara 1.0	b a h a w w a r a
bahaxa 1.0	b a h a x a
bahu 1.0	b a h u
bahujana 1.0	b a h u j a n a
bahumawa 1.0	b a h u m a w a
bahuwa 1.0	b a h u w a
bajAgo 1.0	b a j A g o
bajAra 1.0	b a j A r a
bajAya 1.0	b a j A y a
bajaraMga 1.0	b a j a r a M g a
baje 1.0	b a j e
bajjara 1.0	b a j j a r a
bakAyA 1.0	b a k A y A
balIxAna 1.0	b a l I x A n a
bala 1.0	b a l a
balebAjZa 1.0	b a l e b A j Z a
bali 1.0	b a l i
balixAna 1.0	b a l i x A n a
balki 1.0	b a l k i
balle 1.0	b a l l e
ballebAjI 1.0	b a l l e b A j I
ballebAja 1.0	b a l l e b A j a
ballebajoM 1.0	b a l l e b a j o M
bamba 1.0	b a m b a
banA 1.0	b a n A
banAI 1.0	b a n A I
banAe 1.0	b a n A e
banAkara 1.0	b a n A k a r a
banAlA 1.0	b a n A l A
banAnA 1.0	b a n A n A
banAne 1.0	b a n A n e
banArasa 1.0	b a n A r a s a
banAvA 1.0	b a n A v A
banAwA 1.0	b a n A w A
banAwe 1.0	b a n A w e
banAyA 1.0	b a n A y A
banAyI 1.0	b a n A y I
banAye 1.0	b a n A y e
banAyegA 1.0	b a n A y e g A
banAyegI 1.0	b a n A y e g I
banI 1.0	b a n I
bana 1.0	b a n a
banane 1.0	b a n a n e
banawA 1.0	b a n a w A
bane 1.0	b a n e
bansI 1.0	b a n s I
banvArIlAla 1.0	b a n v A r I l A l a
banwA 1.0	b a n w A
banwI 1.0	b a n w I
banwe 1.0	b a n w e
banxa 1.0	b a n x a
barAbarI 1.0	b a r A b a r I
barAbara 1.0	b a r A b a r a
barAbrI 1.0	b a r A b r I
barAmata 1.0	b a r A m a t a
barAmawa 1.0	b a r A m a w a
barAmaxa 1.0	b a r A m a x a
barI 1.0	b a r I
barKAswa 1.0	b a r K A s w a
barPIle 1.0	b a r P I l e
barPZIlI 1.0	b a r P Z I l I
barPa 1.0	b a r P a
bara 1.0	b a r a
barabAxa 1.0	b a r a b A x a
baranI 1.0	b a r a n I
barani 1.0	b a r a n i
barawne 1.0	b a r a w n e
barbara 1.0	b a r b a r a
barbarwApurNa 1.0	b a r b a r w A p u r N a
barbarwa 1.0	b a r b a r w a
barbarwapUrNa 1.0	b a r b a r w a p U r N a
barbatApUrNa 1.0	b a r b a t A p U r N a
barbawApUrNa 1.0	b a r b a w A p U r N a
barlina 1.0	b a r l i n a
barsA 1.0	b a r s A
barsAya 1.0	b a r s A y a
barsAyegA 1.0	b a r s A y e g A
barwAva 1.0	b a r w A v a
barxASwa 1.0	b a r x A S w a
basA 1.0	b a s A
basI 1.0	b a s I
basIra 1.0	b a s I r a
basa 1.0	b a s a
basahu 1.0	b a s a h u
basai 1.0	b a s a i
base 1.0	b a s e
baseM 1.0	b a s e M
baso 1.0	b a s o
basoM 1.0	b a s o M
basu 1.0	b a s u
basvAnA 1.0	b a s v A n A
baswI 1.0	b a s w I
baswara 1.0	b a s w a r a
batAlIka 1.0	b a t A l I k a
batAlika 1.0	b a t A l i k a
batAliko 1.0	b a t A l i k o
batAliyana 1.0	b a t A l i y a n a
batAyeM 1.0	b a t A y e M
batalika 1.0	b a t a l i k a
batana 1.0	b a t a n a
bawA 1.0	b a w A
bawAe 1.0	b a w A e
bawAnA 1.0	b a w A n A
bawAne 1.0	b a w A n e
bawAwe 1.0	b a w A w e
bawAyA 1.0	b a w A y A
bawAye 1.0	b a w A y e
bawrA 1.0	b a w r A
bawwisa 1.0	b a w w i s a
baxXa 1.0	b a x X a
baxalAva 1.0	b a x a l A v a
baxala 1.0	b a x a l a
baxalakara 1.0	b a x a l a k a r a
baxale 1.0	b a x a l e
baxlA 1.0	b a x l A
bayAlisa 1.0	b a y A l i s a
bayAna 1.0	b a y A n a
bayAnoM 1.0	b a y A n o M
bayo 1.0	b a y o
beasara 1.0	b e a s a r a
bebuniyAxa 1.0	b e b u n i y A x a
behakAve 1.0	b e h a k A v e
behawara 1.0	b e h a w a r a
behaxa 1.0	b e h a x a
benakAba 1.0	b e n a k A b a
benara 1.0	b e n a r a
besa 1.0	b e s a
beta 1.0	b e t a
bete 1.0	b e t e
bi 1.0	b i
biBIRana 1.0	b i B I R a n a
biCAI 1.0	b i C A I
biKrI 1.0	b i K r I
biRaya 1.0	b i R a y a
biXi 1.0	b i X i
bibasa 1.0	b i b a s a
bibeka 1.0	b i b e k a
bibiXa 1.0	b i b i X a
bicAra 1.0	b i c A r a
bicAri 1.0	b i c A r i
bica 1.0	b i c a
biciwra 1.0	b i c i w r a
bigadne 1.0	b i g a d n e
bigawa 1.0	b i g a w a
bihArI 1.0	b i h A r I
bihAra 1.0	b i h A r a
bijalI 1.0	b i j a l I
bijlI 1.0	b i j l I
bila 1.0	b i l a
billa 1.0	b i l l a
binA 1.0	b i n A
binawI 1.0	b i n a w I
bipra 1.0	b i p r a
bisaxa 1.0	b i s a x a
biseRI 1.0	b i s e R I
biyAlIsa 1.0	b i y A l I s a
biyAsI 1.0	b i y A s I
blOYga 1.0	b l O Y g a
bleyara 1.0	b l e y a r a
boCAre 1.0	b o C A r e
boiMga 1.0	b o i M g a
bolA 1.0	b o l A
bolI 1.0	b o l I
bolIviyA 1.0	b o l I v i y A
bola 1.0	b o l a
bolacAla 1.0	b o l a c A l a
bolane 1.0	b o l a n e
bolawe 1.0	b o l a w e
bole 1.0	b o l e
bonasa 1.0	b o n a s a
borda 1.0	b o r d a
bosta 1.0	b o s t a
bota 1.0	b o t a
bqMxa 1.0	b q M x a
brAUna 1.0	b r A U n a
brAhmI 1.0	b r A h m I
brAhmaNa 1.0	b r A h m a N a
brahmA 1.0	b r a h m A
brahmANda 1.0	b r a h m A N d a
brahma 1.0	b r a h m a
braja 1.0	b r a j a
brajeSa 1.0	b r a j e S a
brama 1.0	b r a m a
bramhapuwra 1.0	b r a m h a p u w r a
brawa 1.0	b r a w a
breka 1.0	b r e k a
brela 1.0	b r e l a
brigedIyara 1.0	b r i g e d I y a r a
brigediyara 1.0	b r i g e d i y a r a
brijeSa 1.0	b r i j e S a
brila 1.0	b r i l a
britana 1.0	b r i t a n a
britena 1.0	b r i t e n a
britiSa 1.0	b r i t i S a
buXi 1.0	b u X i
bulA 1.0	b u l A
bulAI 1.0	b u l A I
bulAkara 1.0	b u l A k a r a
bulAnA 1.0	b u l A n A
bulAne 1.0	b u l A n e
bulAya 1.0	b u l A y a
bulAye 1.0	b u l A y e
buletina 1.0	b u l e t i n a
buletino 1.0	b u l e t i n o
buletinoM 1.0	b u l e t i n o M
buleviyA 1.0	b u l e v i y A
bulletina 1.0	b u l l e t i n a
burI 1.0	b u r I
bura 1.0	b u r a
buromwaka 1.0	b u r o m w a k a
buxXa 1.0	b u x X a
buxXi 1.0	b u x X i
byUro 1.0	b y U r o
byorA 1.0	b y o r A
byuro 1.0	b y u r o
cAhawA 1.0	c A h a w A
cAhawI 1.0	c A h a w I
cAhawe 1.0	c A h a w e
cAhe 1.0	c A h e
cAheM 1.0	c A h e M
cAhegA 1.0	c A h e g A
cAhi 1.0	c A h i
cAhiE 1.0	c A h i E
cAhie 1.0	c A h i e
cAhiye 1.0	c A h i y e
cAhwA 1.0	c A h w A
cAlIsa 1.0	c A l I s a
cAlU 1.0	c A l U
cAla 1.0	c A l a
cAlaka 1.0	c A l a k a
cAlisa 1.0	c A l i s a
cAma 1.0	c A m a
cAnslara 1.0	c A n s l a r a
cAnxa 1.0	c A n x a
cArI 1.0	c A r I
cArIyoM 1.0	c A r I y o M
cAra 1.0	c A r a
cArja 1.0	c A r j a
cAro 1.0	c A r o
cAroM 1.0	c A r o M
cArsO 1.0	c A r s O
cAxarA 1.0	c A x a r A
cEnloM 1.0	c E n l o M
cIPa 1.0	c I P a
cInI 1.0	c I n I
cIna 1.0	c I n a
cOWAI 1.0	c O W A I
cOWI 1.0	c O W I
cOWe 1.0	c O W e
cOXrI 1.0	c O X r I
cObIsa 1.0	c O b I s a
cObisa 1.0	c O b i s a
cOhAna 1.0	c O h A n a
cOkI 1.0	c O k I
cOpAla 1.0	c O p A l a
cOrAnve 1.0	c O r A n v e
cOvana 1.0	c O v a n a
cOvisa 1.0	c O v i s a
cOwIsa 1.0	c O w I s a
cOwarPA 1.0	c O w a r P A
cOwisa 1.0	c O w i s a
cOxaha 1.0	c O x a h a
caDZA 1.0	c a D Z A
caDZAyI 1.0	c a D Z A y I
caDZane 1.0	c a D Z a n e
caDZne 1.0	c a D Z n e
caDa 1.0	c a D a
caMdigaDZa 1.0	c a M d i g a D Z a
cadZA 1.0	c a d Z A
calA 1.0	c a l A
calAne 1.0	c a l A n e
calI 1.0	c a l I
cala 1.0	c a l a
calaciwra 1.0	c a l a c i w r a
calawA 1.0	c a l a w A
cale 1.0	c a l e
calegI 1.0	c a l e g I
cali 1.0	c a l i
calne 1.0	c a l n e
calwA 1.0	c a l w A
calwI 1.0	c a l w I
candIgaDZa 1.0	c a n d I g a D Z a
canxragupwa 1.0	c a n x r a g u p w a
capeta 1.0	c a p e t a
cara 1.0	c a r a
carama 1.0	c a r a m a
carcA 1.0	c a r c A
cariwa 1.0	c a r i w a
cariwra 1.0	c a r i w r a
caxxara 1.0	c a x x a r a
cayana 1.0	c a y a n a
ceMpiyanSipa 1.0	c e M p i y a n S i p a
ceka 1.0	c e k a
cembersa 1.0	c e m b e r s a
cempiyanSipa 1.0	c e m p i y a n S i p a
cempiyana 1.0	c e m p i y a n a
cenaloM 1.0	c e n a l o M
cewAvanI 1.0	c e w A v a n I
cewAvnI 1.0	c e w A v n I
cewanA 1.0	c e w a n A
ceyarsa 1.0	c e y a r s a
ciMwA 1.0	c i M w A
ciMwIwa 1.0	c i M w I w a
ciMwana 1.0	c i M w a n a
cidI 1.0	c i d I
cikiwsA 1.0	c i k i w s A
cikiwsakoM 1.0	c i k i w s a k o M
cinha 1.0	c i n h a
cinnaI 1.0	c i n n a I
cinwA 1.0	c i n w A
ciwA 1.0	c i w A
ciwrAye 1.0	c i w r A y e
ciwra 1.0	c i w r a
ciwraNa 1.0	c i w r a N a
coKI 1.0	c o K I
corI 1.0	c o r I
cotI 1.0	c o t I
cotIyo 1.0	c o t I y o
cota 1.0	c o t a
cotiyoM 1.0	c o t i y o M
cuE 1.0	c u E
cukA 1.0	c u k A
cukI 1.0	c u k I
cuke 1.0	c u k e
cunA 1.0	c u n A
cunAvI 1.0	c u n A v I
cunAva 1.0	c u n A v a
cunAvoM 1.0	c u n A v o M
cunAvpUrva 1.0	c u n A v p U r v a
cunaliyA 1.0	c u n a l i y A
cuniMxA 1.0	c u n i M x A
cunowI 1.0	c u n o w I
cuxA 1.0	c u x A
cyavana 1.0	c y a v a n a
dAka 1.0	d A k a
dAktara 1.0	d A k t a r a
dAktrI 1.0	d A k t r I
dAlA 1.0	d A l A
dAla 1.0	d A l a
dAlane 1.0	d A l a n e
dAlara 1.0	d A l a r a
dAlo 1.0	d A l o
dAlu 1.0	d A l u
dAyarI 1.0	d A y a r I
dI 1.0	d I
dOY 1.0	d O Y
dOYga 1.0	d O Y g a
dOYktarI 1.0	d O Y k t a r I
dOYktara 1.0	d O Y k t a r a
dOYktrI 1.0	d O Y k t r I
dOYlara 1.0	d O Y l a r a
da 1.0	d a
dabalsa 1.0	d a b a l s a
dara 1.0	d a r a
datara 1.0	d a t a r a
daynoda 1.0	d a y n o d a
demokretika 1.0	d e m o k r e t i k a
derA 1.0	d e r A
devana 1.0	d e v a n a
dibrUgaDZa 1.0	d i b r U g a D Z a
digarI 1.0	d i g a r I
digrI 1.0	d i g r I
dila 1.0	d i l a
diseMdo 1.0	d i s e M d o
divalapmeMta 1.0	d i v a l a p m e M t a
divijana 1.0	d i v i j a n a
dolara 1.0	d o l a r a
dyutrIna 1.0	d y u t r I n a
e 1.0	e
ePa 1.0	e P a
eSiyA 1.0	e S i y A
eWa 1.0	e W a
ecatIema 1.0	e c a t I e m a
ehi 1.0	e h i
ejbestana 1.0	e j b e s t a n a
ejeMsI 1.0	e j e M s I
ejensI 1.0	e j e n s I
ejuteMta 1.0	e j u t e M t a
eka 1.0	e k a
ekawriwa 1.0	e k a w r i w a
ekawwisa 1.0	e k a w w i s a
ekaxama 1.0	e k a x a m a
eksO 1.0	e k s O
ekspresa 1.0	e k s p r e s a
ekwA 1.0	e k w A
elYa 1.0	e l Y a
ela 1.0	e l a
